C_umolL, depth_cm
1861.428305889105, -6.50869585579553
1902.4726458203768, -3.8795188734349697
1935.7020409232928, -2.8011035782971767
1949.0929094615121, -1.5150308015819114
1876.966751054063, -0.4406857902088923
2054.181521716001, 1.064753378555146
1954.525956995998, 2.15471999032712
2002.4267945781994, 3.1180420513694216
2062.716797256361, 4.219451451170642
1985.1524685607628, 5.412344454999364
2043.255547666632, 6.535220234122708
2094.117302524165, 7.565744899027308
2107.6056388440156, 9.068845936175798
2140.749475852099, 10.590772492046181
2174.300980070435, 11.752396798963478
2067.024985389926, 12.652556547473392
2135.784928509477, 13.023728112982212
2229.338169072752, 13.837953451680193
2302.0152593868434, 13.99035015243419
2353.222805840447, 15.790837437920715
2393.1106741155045, 17.112978769557778
2393.6776064970263, 18.375348205745404
2363.6633887728003, 20.01791687725993
2373.820403822486, 21.711523308855632
2395.604863696023, 22.66670756884617
2438.9486492946835, 24.0757773850232
2447.9861303177586, 25.178616573036834
2394.7239575516405, 25.46037785986441
2336.8868223387108, 26.967593899141903
2432.345015439003, 28.39230455641178
2450.2771707579095, 30.279999953107676
2476.549666053912, 31.718233808769106
2502.77835560536, 33.05892687322461
2516.6196019547706, 35.34784090952597
2513.141152051313, 37.11280173617954
