pH, depth_cm
7.477362329230724, -6.632140651705372
7.469204122147063, -5.240007651651592
7.442772094837212, -4.828876491227623
7.417973604957734, -4.379586157565832
7.393173931021506, -3.945259341077982
7.368378561350833, -3.456537368641163
7.343555243555472, -3.321009821943269
7.318744123737331, -3.0313303381368186
7.293928662377774, -2.7965170839681424
7.269115174446133, -2.536764634509572
7.242897520663018, -2.190328236162575
7.221769255719262, -1.7213280092703158
7.197008881190392, -0.7903549322950845
7.149233288786451, 0.9352867845479444
7.197208789438294, 1.7359855505714918
7.23024782125173, 2.3981933918361236
7.206702984033186, 2.8400037641399365
7.181559308720715, 3.682167827519148
7.15678449997623, 4.4307285046597045
7.132379712724927, 5.1002811627098374
7.122283399586941, 5.897299139145286
7.100041468518474, 6.954070519123828
7.08417847761458, 8.253260994209256
7.1003508385667065, 9.87307728717104
7.078251936054453, 10.557926170007839
7.055236537908308, 11.350316634178924
7.028703502622233, 12.070011041462891
7.004806786830623, 12.820110585815318
7.00406722851746, 14.569303227954222
7.028942705578856, 15.092938405780444
7.033884003905613, 16.087366826984365
7.047182813190591, 17.354875668666494
7.0558690426053206, 18.709574124117346
7.017562644586558, 20.272262976441617
7.044024986463969, 21.541092519696882
7.047601034034172, 22.64014157942524
7.04775990396907, 24.647860381700816
7.051440712934699, 26.7826403858693
7.0358942973650915, 27.86229056473148
7.039848743756166, 29.28397525297862
7.029548275950176, 29.878565932100997
7.0062328398075335, 30.8418550815242
7.00746017719876, 32.48313033221818
6.997983244653485, 33.78713511766434
6.996140757949594, 35.654974725522514
