C_umolL, depth_cm
136.99860993357225, -7.095503958451083
132.12920192745145, -6.133406788874039
125.12334506331, -5.161399426778784
119.16178907376009, -4.594821281266588
104.11024569495127, -2.64912887362528
100.07695658911543, -2.072616592551931
94.17649990426402, -1.9017634926368814
88.07577776168803, -1.5723371505575656
79.87621125888431, -1.214325320872696
74.88364135349936, -1.0809737079843629
65.52174451866124, -0.7561473534284282
60.130662152028705, -0.48791567060813534
53.88932335347634, -0.2646607155470626
47.647984554923994, -0.041405760485993426
41.40720257132378, 0.13156880439672136
20.186227476882124, 0.9288487481399237
14.734875459829823, 1.5178876951915967
8.423015428905487, 2.418607523804063
7.043850372879064, 4.609260275760853
6.462080830632587, 5.927628253871163
4.799581723575599, 7.526574729550543
5.860303071105832, 9.052738252390668
6.128168184082625, 10.472229393959363
5.633373137360621, 12.472704040667107
7.793954355407081, 13.698003183601742
10.047737116192806, 15.04310663163912
8.896447960646938, 16.57367400393573
9.16155683961064, 18.242053076887323
10.280996179894004, 19.58752402279311
7.428569599737159, 21.084535777221355
5.709935193280046, 22.630957620057764
5.694622782096161, 24.013668349962764
8.209771388000632, 27.36514682715074
8.479950376445217, 28.575695013978226
5.998897406110203, 30.681284259326297
5.594173364729869, 33.08425073813956
4.727456864141445, 34.52561821115297
