C_umolL, depth_cm
0.5235040532594653, -7.3319625305092835
0.43271131364426196, -5.6312432031402615
0.39451565002229927, -4.539241913251928
0.3799931383389108, -2.808838557893381
0.4545315285351421, -1.3829176720302598
0.5912414825722365, -0.2569512583244311
1.393594851128526, 0.14154513370268873
1.9641801367746439, 0.31519609622016986
2.466777660628793, 0.567254481105131
3.1489110605276807, 0.927989611875077
3.7412765224042204, 1.2343863697025341
4.252803223340791, 1.4677131065747062
4.979082292605227, 1.4809303536511393
5.529077103895091, 1.518904019681493
6.1628993601193685, 1.6299418280597635
6.754687649634462, 1.6434236124685029
7.34648555868894, 1.661787313100895
7.938735586093173, 1.9096010762446127
8.39637138299301, 2.095028118517199
9.653431195589192, 2.2725361902887116
9.158832169119634, 4.089426210729869
8.642996010746558, 4.399223235231517
8.105674996001312, 4.726149292489104
7.355367600028515, 6.169423292933274
6.442346978438351, 6.9409376047210785
5.958853539095784, 7.2836240747725824
5.367671280560145, 7.577703012453483
4.7302281075690615, 7.795854238880132
4.091271437482149, 8.220967621463913
3.5419596669284914, 9.288018631959332
2.8987741786292816, 10.49219256866062
2.094571068850044, 11.885125916393392
1.3523221900331848, 13.517849644336245
1.3477106744801333, 15.077753230310428
1.0638656440697645, 16.63564885196218
1.0308584393256197, 18.085648513673412
1.0348088634882018, 20.090488776183697
1.144235612791718, 21.02109583962619
1.2027406892066708, 23.410688016167583
1.2959460092925923, 25.209497786359293
1.5865631954102426, 27.088471186153747
2.198037995070507, 27.88592045303274
1.9564675107695564, 28.25306152002952
1.4627533749904842, 29.779149172843617
1.2457227149613317, 31.573199034635863
1.19525957344878, 33.26488882106184
1.1710067908220694, 34.607468690030736
1.1200322104670448, 36.039603263899586
1.0959205144175712, 37.45378457081525
