C_umolL, depth_cm
11.23106541366269, -4.76049096565608
26.899666649153687, -4.337657435856311
41.143141133351264, -3.9911232683778604
61.80057440364567, -3.253765592499711
78.89558668156633, -2.686000182073535
108.10824118927144, -1.252464939804888
123.77745651542705, -0.7968144048932224
139.44237944135398, -0.5705497382002562
155.1044033605906, -0.4992079890406167
170.76698837789604, -0.3978811590680742
186.4291058134777, -0.3215418964396193
202.09141028174872, -0.2352076068735265
217.75221848850242, -0.22883353280850827
244.8032239817162, -0.19011028473276426
233.41368130966976, -0.1874768644617717
270.43390322933897, 0.02885262575426495
284.8786783255664, 0.2639666105656673
301.228110836975, 0.3878020231750803
357.28935938528184, 0.5535017642889919
333.0871734773673, 0.5907487010007024
317.42661464753337, 0.5977013295191895
348.74872981487965, 0.6371028828162473
397.13223888320454, 0.9540038973093381
381.50008645269304, 0.972694391062582
190.73992876205648, 1.8014137952059883
176.50300042199842, 1.80470557054473
160.84237924793456, 1.808326523417346
129.52113689980706, 1.8155684291625782
145.182412688285, 1.846930070571684
113.86126385650209, 1.8591694897857316
98.20185839492115, 1.9277581177529726
82.54441677658224, 2.101294528565365
66.88976728911098, 2.4240424129467257
50.4742955388906, 4.356489813137333
40.70574344966576, 5.314756886606379
67.75743560234037, 6.512741081099016
59.47081740307635, 8.120308956854785
69.86628121672425, 9.32399825098788
61.09575729856397, 9.802457796473995
48.19808432614036, 11.633288376959843
54.99367162602948, 13.397721105717153
61.74851177632627, 15.0980282221117
56.37494978784139, 16.565214290910653
57.927252088392834, 18.00331256080362
56.52601876320864, 19.203877889765053
50.140488945946345, 20.33229847588572
62.990082567805985, 22.272313586829476
53.16409317744774, 23.408553968143735
53.075483843025495, 25.013477322188045
43.12194699039014, 25.673787504986073
27.00029889513371, 26.400954531587438
53.84270752223733, 27.972673625872254
53.16480753841529, 29.786935603819764
41.804170768562244, 31.334300437302105
33.279471930163254, 32.26923987408392
51.80849323087432, 33.387973235636295
46.12559579875165, 34.02383137021244
37.61245491260229, 35.576427775215286
60.26161228390629, 37.08141831626762
68.96481482447894, 37.23210847621891
