C_umolL, depth_cm
720.6757935361675, -7.331712708749883
738.3021300009086, -6.124973960660485
730.5608335805828, -4.341642099884757
731.1891722290238, -2.942541376024508
753.2130578751367, -1.4542357290989898
770.9593125655929, 0.019520934916680943
818.5939529790458, 1.4725848603488565
776.474729590791, 2.79020689933947
732.9893145442711, 4.235878605378229
773.6451522785337, 5.999990695731082
765.884964630869, 7.741258090299247
775.008606077763, 9.03594782201607
801.308479964111, 10.535144672181218
713.844835244845, 12.329154183191886
772.916197310572, 13.887160245420198
816.0682780196294, 14.869367174082214
855.2798951131408, 16.58778439714763
868.6967733121883, 17.931772018641418
852.4626381665394, 19.82500154106591
888.7118917846155, 21.28742894439641
896.4545571344597, 22.677248326129373
896.9966532233102, 23.884315617302924
833.6584747451134, 25.505944047777227
842.8773936864118, 27.012785000366975
832.5255486765964, 29.323501520780525
861.9739604527322, 31.49323655330584
862.6064058897246, 32.90148172634166
927.3786749302435, 34.47309494797192
928.0562950413059, 35.98192906193886
928.6846336897461, 37.38102978579911
