C_umolL, depth_cm
8.82692961387211, -2.7565301256690624
11.35883680312783, -0.9183517250993418
15.539003124165859, -0.48712955097815325
23.48528240665594, 0.07363437269753703
33.193445904165515, 0.7022295837219126
37.992391696329264, 1.196460695918482
50.461545760763016, 1.9711257859854499
56.06754450504505, 2.7653427917788207
60.92671960854449, 4.451228536137549
64.46565886183534, 5.354411554334657
56.26814819201461, 6.860950340351444
49.642978286452816, 7.600539800533188
39.61279479755444, 8.520325715526916
34.50175057935243, 9.108823438445103
16.039823888251888, 11.719598825547045
23.677334727518897, 13.460562810819908
33.003710944522524, 16.343248246717245
34.97164671746451, 17.89262385367102
33.589242235783175, 19.806736501301643
26.9746481022124, 23.00569519647879
24.126662121298878, 24.101720839234588
21.844010361294465, 25.363488020644773
20.127795315804406, 26.691441568156193
17.26284318329914, 29.319510699646727
14.410447227964667, 30.813757032615158
13.065915443278143, 32.722326587397205
12.478385517776786, 34.56085717342416
11.33105328372416, 35.73411453488183
