C_umolL, depth_cm
3867.8893770825234, -6.829788823551835
4095.0908057822526, -5.825777593992637
4208.913535107877, -4.655506902172965
4243.492939786171, -3.002342194002587
4202.248508206685, -1.954828236203248
5015.438901515394, -1.2107805215606895
4811.30196232993, -1.0779072288510534
4834.710122743345, 1.0934266998599895
4993.564813358647, 1.2354430422930527
5356.662295365833, 1.5632012333131513
5300.256758637483, 2.5006079701441024
5188.381463391648, 4.088148907784692
5312.665793612585, 5.708188787369135
5514.015000719497, 6.93956035472706
5676.308928921018, 7.6783634151557685
5880.979488784604, 9.151688363579272
6108.107457448168, 9.934584884289666
5881.3683692134255, 10.322218454339694
5632.225535458423, 11.561806924064673
5912.073065792418, 11.693716602883889
6154.206671984026, 12.1187628059002
6381.210800277309, 12.528899812043797
6668.82827677955, 13.285937818738894
6880.805022158667, 13.98847153035372
7096.844667025471, 15.539127880643612
7312.662921138566, 16.423398062263722
7516.9767826879, 16.823061084796088
7596.825444191083, 18.162231004567417
7586.0466552647995, 19.861690794281323
7382.213042813815, 20.907577557784087
7341.264081886609, 22.844458178937657
7428.551825449478, 23.8128554598078
7291.06580922283, 25.393922521210484
7440.957198321888, 27.009413347927023
7396.078129819638, 28.497874987481424
7521.349507689138, 29.98496333852598
7669.270990714602, 31.36163929337772
7794.441660760043, 32.545597094012344
7619.909770094931, 33.9918006842776
7806.612048709652, 35.03485036450838
7920.312707945515, 35.83769008613421
8011.521953142095, 37.22860246520484
